FinancialYear,Quarter,OrgCode,OrgName,Measure,Value
2020/2021,1,E92000001,England,Number of maternities,139051
2020/2021,1,E92000001,England,Women known to be non-smokers at time of delivery,124162
2020/2021,1,E92000001,England,Women known to be smokers at time of delivery,13513
2020/2021,1,E92000001,England,Women whose smoking status was not known at time of delivery,1376
2020/2021,1,E40000003,London,Number of maternities,27115
2020/2021,1,E40000003,London,Women known to be non-smokers at time of delivery,25685
2020/2021,1,E40000003,London,Women known to be smokers at time of delivery,1246
2020/2021,1,E40000003,London,Women whose smoking status was not known at time of delivery,184
2020/2021,1,E40000005,South East,Number of maternities,20886
2020/2021,1,E40000005,South East,Women known to be non-smokers at time of delivery,18833
2020/2021,1,E40000005,South East,Women known to be smokers at time of delivery,1907
2020/2021,1,E40000005,South East,Women whose smoking status was not known at time of delivery,146
2020/2021,1,E40000006,South West,Number of maternities,12059
2020/2021,1,E40000006,South West,Women known to be non-smokers at time of delivery,10735
2020/2021,1,E40000006,South West,Women known to be smokers at time of delivery,1201
2020/2021,1,E40000006,South West,Women whose smoking status was not known at time of delivery,123
2020/2021,1,E40000007,East of England,Number of maternities,15422
2020/2021,1,E40000007,East of England,Women known to be non-smokers at time of delivery,13469
2020/2021,1,E40000007,East of England,Women known to be smokers at time of delivery,1481
2020/2021,1,E40000007,East of England,Women whose smoking status was not known at time of delivery,472
2020/2021,1,E40000008,Midlands,Number of maternities,26170
2020/2021,1,E40000008,Midlands,Women known to be non-smokers at time of delivery,22794
2020/2021,1,E40000008,Midlands,Women known to be smokers at time of delivery,3062
2020/2021,1,E40000008,Midlands,Women whose smoking status was not known at time of delivery,314
2020/2021,1,E40000009,North East and Yorkshire,Number of maternities,19701
2020/2021,1,E40000009,North East and Yorkshire,Women known to be non-smokers at time of delivery,16972
2020/2021,1,E40000009,North East and Yorkshire,Women known to be smokers at time of delivery,2623
2020/2021,1,E40000009,North East and Yorkshire,Women whose smoking status was not known at time of delivery,106
2020/2021,1,E40000010,North West,Number of maternities,17698
2020/2021,1,E40000010,North West,Women known to be non-smokers at time of delivery,15674
2020/2021,1,E40000010,North West,Women known to be smokers at time of delivery,1993
2020/2021,1,E40000010,North West,Women whose smoking status was not known at time of delivery,31
2020/2021,1,E54000027,North West London Health and Care Partnership,Number of maternities,6079
2020/2021,1,E54000027,North West London Health and Care Partnership,Women known to be non-smokers at time of delivery,5793
2020/2021,1,E54000027,North West London Health and Care Partnership,Women known to be smokers at time of delivery,240
2020/2021,1,E54000027,North West London Health and Care Partnership,Women whose smoking status was not known at time of delivery,46
2020/2021,1,E54000028,North London Partners in Health and Care,Number of maternities,3977
2020/2021,1,E54000028,North London Partners in Health and Care,Women known to be non-smokers at time of delivery,3719
2020/2021,1,E54000028,North London Partners in Health and Care,Women known to be smokers at time of delivery,216
2020/2021,1,E54000028,North London Partners in Health and Care,Women whose smoking status was not known at time of delivery,42
2020/2021,1,E54000029,East London Health and Care Partnership,Number of maternities,6940
2020/2021,1,E54000029,East London Health and Care Partnership,Women known to be non-smokers at time of delivery,6597
2020/2021,1,E54000029,East London Health and Care Partnership,Women known to be smokers at time of delivery,340
2020/2021,1,E54000029,East London Health and Care Partnership,Women whose smoking status was not known at time of delivery,3
2020/2021,1,E54000030,Our Healthier South East London,Number of maternities,5453
2020/2021,1,E54000030,Our Healthier South East London,Women known to be non-smokers at time of delivery,5131
2020/2021,1,E54000030,Our Healthier South East London,Women known to be smokers at time of delivery,247
2020/2021,1,E54000030,Our Healthier South East London,Women whose smoking status was not known at time of delivery,75
2020/2021,1,E54000031,South West London Health and Care Partnership,Number of maternities,4666
2020/2021,1,E54000031,South West London Health and Care Partnership,Women known to be non-smokers at time of delivery,4445
2020/2021,1,E54000031,South West London Health and Care Partnership,Women known to be smokers at time of delivery,203
