FinancialYear,Quarter,OrgCode,OrgName,Measure,Value
2021-2022,1,E92000001,England,Number of maternities,135766
2021-2022,1,E92000001,England,Women known to be non-smokers at time of delivery,120400
2021-2022,1,E92000001,England,Women known to be smokers at time of delivery,12206
2021-2022,1,E92000001,England,Women whose smoking status was not known at time of delivery,3160
2021-2022,1,E40000003,London,Number of maternities,24152
2021-2022,1,E40000003,London,Women known to be non-smokers at time of delivery,22982
2021-2022,1,E40000003,London,Women known to be smokers at time of delivery,1089
2021-2022,1,E40000003,London,Women whose smoking status was not known at time of delivery,81
2021-2022,1,E40000005,South East,Number of maternities,20103
2021-2022,1,E40000005,South East,Women known to be non-smokers at time of delivery,18059
2021-2022,1,E40000005,South East,Women known to be smokers at time of delivery,1615
2021-2022,1,E40000005,South East,Women whose smoking status was not known at time of delivery,429
2021-2022,1,E40000006,South West,Number of maternities,12367
2021-2022,1,E40000006,South West,Women known to be non-smokers at time of delivery,10850
2021-2022,1,E40000006,South West,Women known to be smokers at time of delivery,1260
2021-2022,1,E40000006,South West,Women whose smoking status was not known at time of delivery,257
2021-2022,1,E40000007,East of England,Number of maternities,15453
2021-2022,1,E40000007,East of England,Women known to be non-smokers at time of delivery,13616
2021-2022,1,E40000007,East of England,Women known to be smokers at time of delivery,1227
2021-2022,1,E40000007,East of England,Women whose smoking status was not known at time of delivery,610
2021-2022,1,E40000008,Midlands,Number of maternities,25176
2021-2022,1,E40000008,Midlands,Women known to be non-smokers at time of delivery,22116
2021-2022,1,E40000008,Midlands,Women known to be smokers at time of delivery,2685
2021-2022,1,E40000008,Midlands,Women whose smoking status was not known at time of delivery,375
2021-2022,1,E40000009,North East and Yorkshire,Number of maternities,20186
2021-2022,1,E40000009,North East and Yorkshire,Women known to be non-smokers at time of delivery,16865
2021-2022,1,E40000009,North East and Yorkshire,Women known to be smokers at time of delivery,2375
2021-2022,1,E40000009,North East and Yorkshire,Women whose smoking status was not known at time of delivery,946
2021-2022,1,E40000010,North West,Number of maternities,18329
2021-2022,1,E40000010,North West,Women known to be non-smokers at time of delivery,15912
2021-2022,1,E40000010,North West,Women known to be smokers at time of delivery,1955
2021-2022,1,E40000010,North West,Women whose smoking status was not known at time of delivery,462
2021-2022,1,E54000027,North West London Health and Care Partnership,Number of maternities,5387
2021-2022,1,E54000027,North West London Health and Care Partnership,Women known to be non-smokers at time of delivery,5183
2021-2022,1,E54000027,North West London Health and Care Partnership,Women known to be smokers at time of delivery,199
2021-2022,1,E54000027,North West London Health and Care Partnership,Women whose smoking status was not known at time of delivery,5
2021-2022,1,E54000028,North London Partners in Health and Care,Number of maternities,4017
2021-2022,1,E54000028,North London Partners in Health and Care,Women known to be non-smokers at time of delivery,3774
2021-2022,1,E54000028,North London Partners in Health and Care,Women known to be smokers at time of delivery,205
2021-2022,1,E54000028,North London Partners in Health and Care,Women whose smoking status was not known at time of delivery,38
2021-2022,1,E54000029,East London Health and Care Partnership,Number of maternities,6772
2021-2022,1,E54000029,East London Health and Care Partnership,Women known to be non-smokers at time of delivery,6464
2021-2022,1,E54000029,East London Health and Care Partnership,Women known to be smokers at time of delivery,299
2021-2022,1,E54000029,East London Health and Care Partnership,Women whose smoking status was not known at time of delivery,9
2021-2022,1,E54000030,Our Healthier South East London,Number of maternities,4096
2021-2022,1,E54000030,Our Healthier South East London,Women known to be non-smokers at time of delivery,3899
2021-2022,1,E54000030,Our Healthier South East London,Women known to be smokers at time of delivery,189
2021-2022,1,E54000030,Our Healthier South East London,Women whose smoking status was not known at time of delivery,8
2021-2022,1,E54000031,South West London Health and Care Partnership,Number of maternities,3880
2021-2022,1,E54000031,South West London Health and Care Partnership,Women known to be non-smokers at time of delivery,3662
2021-2022,1,E54000031,South West London Health and Care Partnership,Women known to be smokers at time of delivery,197
2021-2022,1,E54000031,South West London Health and Care Partnership,Women whose smoking status was not known at time of delivery,21
2021-2022,1,E54000032,Kent and Medway,Number of maternities,3618
2021-2022,1,E54000032,Kent and Medway,Women known to be non-smokers at time of delivery,3210
2021-2022,1,E54000032,Kent and Medway,Women known to be smokers at time of delivery,399
