FinancialYear,Quarter,OrgCode,OrgName,Measure,Value
2020/2021,1,E92000001,England,Number of maternities,139051.0
2020/2021,1,E92000001,England,Women known to be non-smokers at time of delivery,124162.0
2020/2021,1,E92000001,England,Women known to be smokers at time of delivery,13513.0
2020/2021,1,E92000001,England,Women whose smoking status was not known at time of delivery,1376.0
2020/2021,1,E40000003,London,Number of maternities,27115.0
2020/2021,1,E40000003,London,Women known to be non-smokers at time of delivery,25685.0
2020/2021,1,E40000003,London,Women known to be smokers at time of delivery,1246.0
2020/2021,1,E40000003,London,Women whose smoking status was not known at time of delivery,184.0
2020/2021,1,E40000005,South East,Number of maternities,20886.0
2020/2021,1,E40000005,South East,Women known to be non-smokers at time of delivery,18833.0
2020/2021,1,E40000005,South East,Women known to be smokers at time of delivery,1907.0
2020/2021,1,E40000005,South East,Women whose smoking status was not known at time of delivery,146.0
2020/2021,1,E40000006,South West,Number of maternities,12059.0
2020/2021,1,E40000006,South West,Women known to be non-smokers at time of delivery,10735.0
2020/2021,1,E40000006,South West,Women known to be smokers at time of delivery,1201.0
2020/2021,1,E40000006,South West,Women whose smoking status was not known at time of delivery,123.0
2020/2021,1,E40000007,East of England,Number of maternities,15422.0
2020/2021,1,E40000007,East of England,Women known to be non-smokers at time of delivery,13469.0
2020/2021,1,E40000007,East of England,Women known to be smokers at time of delivery,1481.0
2020/2021,1,E40000007,East of England,Women whose smoking status was not known at time of delivery,472.0
2020/2021,1,E40000008,Midlands,Number of maternities,26170.0
2020/2021,1,E40000008,Midlands,Women known to be non-smokers at time of delivery,22794.0
2020/2021,1,E40000008,Midlands,Women known to be smokers at time of delivery,3062.0
2020/2021,1,E40000008,Midlands,Women whose smoking status was not known at time of delivery,314.0
2020/2021,1,E40000009,North East and Yorkshire,Number of maternities,19701.0
2020/2021,1,E40000009,North East and Yorkshire,Women known to be non-smokers at time of delivery,16972.0
2020/2021,1,E40000009,North East and Yorkshire,Women known to be smokers at time of delivery,2623.0
2020/2021,1,E40000009,North East and Yorkshire,Women whose smoking status was not known at time of delivery,106.0
2020/2021,1,E40000010,North West,Number of maternities,17698.0
2020/2021,1,E40000010,North West,Women known to be non-smokers at time of delivery,15674.0
2020/2021,1,E40000010,North West,Women known to be smokers at time of delivery,1993.0
2020/2021,1,E40000010,North West,Women whose smoking status was not known at time of delivery,31.0
2020/2021,1,E54000027,North West London Health and Care Partnership,Number of maternities,6079.0
2020/2021,1,E54000027,North West London Health and Care Partnership,Women known to be non-smokers at time of delivery,5793.0
2020/2021,1,E54000027,North West London Health and Care Partnership,Women known to be smokers at time of delivery,240.0
2020/2021,1,E54000027,North West London Health and Care Partnership,Women whose smoking status was not known at time of delivery,46.0
2020/2021,1,E54000028,North London Partners in Health and Care,Number of maternities,3977.0
2020/2021,1,E54000028,North London Partners in Health and Care,Women known to be non-smokers at time of delivery,3719.0
2020/2021,1,E54000028,North London Partners in Health and Care,Women known to be smokers at time of delivery,216.0
