QS_id,QS_statement_id,measure_text,measure_type,measure_number,QS_measure_id,measure_number,Numerator,Denominator
2,2.1,Evidence of local arrangements and written clinical protocols to ensure that adults presenting at an A&E department with suspected stroke are admitted to a specialist acute stroke unit within 4 hours of arrival.,Structure,1,2.1.S1,1,,
2,2.1,Proportion of A&E department presentations of suspected stroke in adults in which the person is admitted to a specialist acute stroke unit within 4 hours of arrival,Process,2,2.1.P1,1,The number in the denominator in which the person is admitted to a specialist acute stroke unit within 4 hours of arrival.,The number of A&E department presentations of suspected stroke.
2,2.1,Mortality rates of adults who have a stroke,Outcome,3,2.1.O1,1,,
2,2.1,Change in Modified Rankin Score at 6 months after a stroke,Outcome,4,2.1.O2,2,,
2,2.2,Evidence of local arrangements and written clinical protocols to ensure that adults having stroke rehabilitation in hospital or in the community are offered at least 45 minutes of each relevant therapy for a minimum of 5 days a week,Structure,5,2.2.S1,1,,
2,2.2,Proportion of adults having stroke rehabilitation in hospital who receive at least 45 minutes of each relevant therapy for a minimum of 5 days a week,Process,6,2.2.P1,1,The number in the denominator who receive at least 45 minutes of each relevant therapy for a minimum of 5 days a week.,The number of adults having stroke rehabilitation in hospital.
2,2.2,Proportion of adults having stroke rehabilitation in the community who receive at least 45 minutes of each relevant therapy for a minimum of 5 days a week,Process,7,2.2.P2,2,The number in the denominator who receive at least 45 minutes of each relevant therapy for a minimum of 5 days a week.,The number of adults having stroke rehabilitation in the community.
2,2.2,Change in Modified Rankin Score at 6 months after a stroke,Outcome,8,2.2.O1,1,,
2,2.3,Evidence of local arrangements and protocols to ensure that services providing stroke care have a core multidisciplinary stroke rehabilitation team that includes a clinical psychologist with expertise in stroke rehabilitation,Structure,9,2.3.S1,1,,
2,2.3,Quality of life for adults who have had a stroke,Outcome,10,2.3.O1,1,,
2,2.4,Evidence of local arrangements and written clinical protocols to ensure that adults who have had a stroke are offered early supported discharge if the core multidisciplinary stroke team assess that it is suitable for them,Structure,11,2.4.S1,1,,
